id;area_calc;elev_mean;elev_med;elev_ran;elev_std;slope_mean;mvert_dist;mvert_ang;asp_mean;elon_ratio;strm_dens;p_mean;ref_et_mean;aridity;p_season;frac_snow;high_prec_fr;high_prec_du;high_prec_timing;lo_prec_fr;low_prec_du;low_prec_timing;p_mean_ERA5L;pet_mean_ERA5L;aridity_ERA5L;p_season_ERA5L;frac_snow_ERA5L;high_prec_fr_ERA5L;high_prec_du_ERA5L;high_prec_timing_ERA5L;lo_prec_fr_ERA5L;low_prec_du_ERA5L;low_prec_timing_ERA5L;q_mean;runoff_ratio;hfd_mean;slope_fdc;baseflow_index_ladson;stream_elas;high_q_freq;high_q_dur;Q95;low_q_freq;low_q_dur;Q5;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_pa_fra;gc_pb_fra;gc_va_fra;gc_vb_fra;gc_23_dom;gc_23_pavr;gc_23_pb;gc_23_vapy;gc_23_vbsr;gc_23_vbpy;gc_23_vb;g_dom_NI;g621_fra;g701_fra;g743_fra;g746_fra;gbinn_fra;ggnew_fra;ggold_fra;ghraun_fra;gbnew_fra;gbold_fra;gmob_fra;gsgos_fra;gsinn_fra;gsn_fra;gsnew_fra;gsold_fra;g_frac;g_area;g_mean_el;g_min_el;g_max_el;g_aspect;g_slope;g_slopel20;g_lon;g_lat;degimpact;typimpact
55;66.37;784.612;749.515;689.985;118.654;85.961;20.3;14;184.783;0.454;0.41;6.34;0.49;0.08;-0.47;0.57;17.1;1.28;djf;175.35;2.84;jja;4.36;0.41;0.09;-0.32;0.6;13.2;1.19;djf;150.55;2.43;jja;;;;;;;;;;;;;322;0.0;0.402;0.0;0.094;0.116;0.0;0.379;0.0;0.35;0.35;0.23;-0.09;0.27;0.27;0.85;0.976;0.355;0.138;0.777;0.183;0.04;0.082;0.015;vb;0.0;0.0;0.21;0.79;vbpy__;0.0;0.0;0.21;0.061;0.729;0.0;gnew;0.108;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.191;0.0;0.0;0.0;0.0;0.095;6.333;1053.512;823.854;1333.372;105.826;81.985;149.839;671331.688;465630.107;u;F
56;44.57;833.174;801.484;646.547;115.739;99.089;13.3;14;179.052;0.567;0.44;7.07;0.46;0.07;-0.47;0.59;17.2;1.28;djf;170.8;2.75;jja;4.52;0.39;0.09;-0.33;0.6;13.15;1.2;djf;150.65;2.42;jja;8.104;1.131;239.667;4.442;0.469;1.285;9.225;2.16;28.051;114.461;17.632;0.579;333;0.0;0.503;0.0;0.14;0.014;0.0;0.33;0.0;0.28;0.28;0.22;-0.09;0.25;0.25;0.833;0.966;0.355;0.137;0.777;0.183;0.04;0.082;0.015;vb;0.0;0.0;0.304;0.696;vbpy__;0.0;0.0;0.304;0.051;0.645;0.0;gnew;0.161;0.0;0.0;0.0;0.0;0.581;0.0;0.0;0.0;0.0;0.0;0.257;0.0;0.0;0.0;0.0;0.142;6.333;1053.512;823.854;1333.372;105.826;81.985;149.839;671331.688;465630.107;u;F
57;442.459;689.332;715.273;1302.583;173.704;109.894;46.9;25;203.915;0.506;0.4;5.36;0.5;0.09;-0.44;0.53;17.15;1.25;djf;181.65;2.89;jja;4.06;0.47;0.12;-0.32;0.59;13.25;1.18;djf;156.75;2.49;jja;;;;;;;;;;;;;322;0.004;0.385;0.002;0.014;0.022;0.0;0.564;0.004;0.62;0.62;0.33;-0.07;0.43;0.43;0.928;0.772;0.385;0.107;0.694;0.219;0.089;0.126;0.014;vb;0.0;0.0;0.033;0.967;vb__sr;0.0;0.0;0.033;0.85;0.117;0.0;gold;0.016;0.0;0.0;0.0;0.0;0.134;0.819;0.0;0.0;0.0;0.0;0.031;0.0;0.0;0.0;0.0;0.014;6.333;1053.512;823.854;1333.372;105.826;81.985;149.839;671331.688;465630.107;u;F
58;39.628;171.274;145.952;431.673;86.606;102.369;13.4;271;192.538;0.531;0.43;4.47;0.64;0.14;-0.44;0.21;15.05;1.13;djf;176.8;3.06;jja;4.16;4.72;1.13;-0.17;0.21;8.25;1.07;djf;152.85;2.74;mam;3.143;0.718;140.938;2.058;0.615;1.885;1.17;1.65;8.656;5.284;6.208;0.807;322;0.053;0.035;0.0;0.0;0.035;0.033;0.764;0.0;1.46;1.46;0.55;0.04;0.74;0.74;0.857;1.0;0.404;0.134;0.763;0.116;0.121;0.085;0.011;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;1.0;0.0;hraun;0.0;0.0;0.035;0.0;0.0;0.401;0.0;0.564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;l;D
59;941.844;960.517;817.051;1355.335;327.942;96.745;72.4;28;163.433;0.478;0.53;3.67;0.64;0.17;-0.39;0.73;13.55;1.23;djf;168.75;2.69;jja;3.96;0.36;0.09;-0.31;0.69;10.1;1.14;djf;138.25;2.33;jja;;;;;;;;;;;;;332;0.0;0.552;0.0;0.358;0.003;0.0;0.012;0.001;0.01;0.01;0.06;-0.08;0.01;0.01;4.329;0.209;0.448;0.03;0.512;0.303;0.186;0.221;0.014;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;0.869;0.131;621;0.392;0.0;0.0;0.0;0.0;0.0;0.0;0.156;0.0;0.144;0.308;0.0;0.0;0.0;0.0;0.0;0.359;337.657;1308.219;727.14;1921.659;134.512;46.35;47.2;616878.671;458759.586;u;F
60;479.878;1295.698;1392.612;982.574;257.3;19.948;61.0;26;94.211;0.405;0.58;6.39;0.44;0.07;-0.55;0.85;14.3;1.24;djf;148.2;2.68;jja;5.09;0.03;0.01;-0.39;0.81;9.7;1.16;djf;125.35;2.25;jja;;;;;;;;;;;;;335;0.0;0.034;0.0;0.931;0.0;0.0;0.02;0.001;0.01;0.01;0.06;-0.09;0.01;0.01;11.458;0.031;0.399;0.008;0.619;0.235;0.109;0.162;0.014;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;1.0;0.0;621;0.942;0.0;0.0;0.0;0.0;0.032;0.0;0.022;0.0;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.931;446.541;1341.256;719.528;1631.592;87.571;18.032;39.553;620116.567;448454.841;u;F
61;87.838;258.523;235.095;550.799;129.019;115.219;22.1;221;205.085;0.478;0.43;3.9;0.64;0.16;-0.14;0.23;12.05;1.14;djf;181.5;3.11;mam;4.57;3.96;0.87;-0.2;0.21;8.15;1.08;djf;150.0;2.73;mam;;;;;;;;;;;;;322;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029;1.74;1.74;0.59;0.05;0.88;0.88;1.107;1.0;0.352;0.137;0.804;0.158;0.043;0.069;0.013;vb;0.0;0.069;0.0;0.931;vbpy__;0.0;0.069;0.0;0.0;0.793;0.137;gnew;0.0;0.0;0.0;0.0;0.045;0.794;0.0;0.072;0.0;0.089;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
62;2798.812;546.319;617.564;1831.484;296.464;133.256;120.8;27;185.232;0.494;0.42;4.14;0.62;0.15;-0.37;0.49;16.2;1.24;son;184.05;2.99;jja;3.71;0.62;0.17;-0.3;0.56;12.35;1.17;djf;157.5;2.55;jja;3.495;0.845;244.96;2.142;0.61;0.708;3.56;6.357;10.681;25.841;4.222;0.617;322;0.026;0.189;0.018;0.047;0.034;0.001;0.602;0.064;0.97;0.97;0.41;-0.06;0.58;0.58;2.267;0.648;0.397;0.088;0.676;0.213;0.112;0.132;0.014;vb;0.008;0.0;0.068;0.924;vb__sr;0.008;0.0;0.068;0.769;0.155;0.0;gold;0.059;0.006;0.0;0.0;0.0;0.102;0.758;0.002;0.0;0.0;0.024;0.047;0.003;0.0;0.0;0.0;0.047;132.145;1124.762;709.785;1828.998;199.18;87.65;104.082;663706.3;463575.978;u;F
63;52.215;380.332;396.596;976.912;231.589;369.283;12.4;210;191.355;0.658;0.41;5.44;0.51;0.09;-0.26;0.22;17.5;1.18;son;189.7;3.07;jja;5.49;1.78;0.32;-0.25;0.19;14.55;1.23;son;160.85;2.58;mam;9.3;1.62;159.5;2.668;0.425;0.887;8.93;1.452;31.77;44.943;7.872;1.241;322;0.031;0.354;0.0;0.0;0.0;0.0;0.568;0.016;0.97;0.97;0.42;0.01;0.58;0.58;1.0;0.1;0.471;0.018;0.43;0.34;0.224;0.254;0.014;vb;0.004;0.0;0.0;0.996;vb__sr;0.004;0.0;0.0;0.996;0.0;0.0;gold;0.0;0.0;0.0;0.0;0.006;0.0;0.896;0.0;0.0;0.0;0.0;0.021;0.077;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
64;1509.665;516.43;486.203;1051.149;189.462;84.518;60.4;335;195.792;0.726;0.45;2.15;0.69;0.32;-0.09;0.59;14.2;1.23;son;210.0;3.34;jja;2.74;0.82;0.3;-0.07;0.58;10.35;1.22;son;170.9;2.63;jja;2.144;1.031;189.143;0.264;0.863;0.126;;;2.594;;;1.786;332;0.004;0.707;0.03;0.0;0.03;0.002;0.207;0.014;0.35;0.35;0.21;-0.06;0.23;0.23;3.682;0.32;0.446;0.044;0.514;0.3;0.183;0.216;0.014;vb;0.0;0.0;0.0;1.0;vb____;0.0;0.0;0.0;0.0;0.353;0.647;bold;0.0;0.0;0.026;0.0;0.0;0.0;0.0;0.245;0.039;0.551;0.13;0.007;0.0;0.0;0.0;0.001;0.0;0.0;;;;;;;;;l;D
65;66.634;711.358;694.953;424.984;75.042;168.539;16.0;234;194.893;0.577;0.42;5.75;0.36;0.06;-0.4;0.49;13.75;1.18;djf;163.65;2.87;jja;4.77;0.69;0.15;-0.28;0.44;9.1;1.09;djf;134.2;2.44;mam;;;;;;;;;;;;;332;0.0;0.957;0.0;0.0;0.013;0.0;0.021;0.0;0.07;0.07;0.07;-0.07;0.01;0.01;1.105;0.1;0.475;0.014;0.43;0.34;0.23;0.26;0.014;vb;0.0;0.0;0.0;1.0;vbpy__;0.0;0.0;0.0;0.0;1.0;0.0;mob;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
66;516.163;731.138;682.682;952.94;171.87;198.594;26.5;211;200.211;0.968;0.52;8.16;0.39;0.05;-0.49;0.55;12.7;1.15;djf;146.0;2.7;jja;5.95;0.48;0.08;-0.36;0.47;9.0;1.1;djf;123.3;2.35;mam;7.826;0.923;252.0;1.956;0.658;0.916;;;18.375;;;2.859;322;0.0;0.454;0.0;0.102;0.004;0.0;0.336;0.0;0.27;0.27;0.19;-0.08;0.19;0.19;1.396;0.106;0.473;0.015;0.438;0.336;0.226;0.258;0.014;vb;0.0;0.0;0.213;0.787;vbpy__;0.0;0.0;0.213;0.0;0.674;0.113;mob;0.123;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.009;0.111;0.557;0.157;0.0;0.0;0.009;0.02;0.1;51.54;965.39;676.076;1380.748;267.28;81.592;98.508;493552.907;360394.029;u;F
67;507.444;348.255;353.243;989.271;166.804;146.581;41.1;219;185.519;0.618;0.36;3.75;0.5;0.13;-0.27;0.39;10.85;1.17;son;173.7;3.03;jja;3.32;1.45;0.44;-0.24;0.37;9.6;1.14;djf;164.3;2.92;jja;3.504;1.075;136.0;2.489;0.451;1.236;8.117;1.743;11.793;39.785;5.75;0.548;322;0.015;0.093;0.017;0.0;0.006;0.0;0.819;0.048;1.27;1.27;0.52;-0.02;0.77;0.77;2.528;0.777;0.392;0.101;0.728;0.167;0.109;0.109;0.011;vb;0.038;0.0;0.005;0.957;vb__sr;0.038;0.0;0.005;0.93;0.027;0.0;gold;0.0;0.0;0.002;0.0;0.001;0.031;0.905;0.0;0.0;0.013;0.004;0.024;0.021;0.0;0.0;0.0;0.0;0.0;;;;;;;;;u;F
