YYYY;MM;DD;qobs;qc_flag
1951;3;5;281.26;40.0
1951;3;6;208.49;40.0
1951;3;7;212.02;40.0
1951;3;8;212.02;40.0
1951;3;9;244.34;40.0
1951;3;10;215.57;40.0
1951;3;11;281.26;40.0
1951;3;12;262.67;40.0
1951;3;13;226.27;40.0
1951;3;14;219.12;40.0
1951;3;15;222.69;40.0
1951;3;16;226.27;40.0
1951;3;17;262.67;40.0
1951;3;18;229.86;40.0
1951;3;19;262.67;40.0
1951;3;20;197.96;40.0
1951;3;21;240.7;40.0
1951;3;22;191.0;40.0
1951;3;23;212.02;40.0
1951;3;24;240.7;40.0
1951;3;25;237.08;40.0
1951;3;26;233.46;40.0
1951;3;27;240.7;40.0
1951;3;28;191.0;40.0
1951;3;29;226.27;40.0
1951;3;30;201.46;40.0
1951;3;31;204.97;40.0
1951;4;1;215.57;40.0
1951;4;2;251.64;40.0
1951;4;3;219.12;40.0
1951;4;4;247.98;40.0
1951;4;5;226.27;40.0
1951;4;6;273.8;40.0
1951;4;7;262.67;40.0
1951;4;8;255.31;40.0
1951;4;9;251.64;40.0
1951;4;10;204.97;40.0
1951;4;11;219.12;40.0
1951;4;12;150.35;40.0
1951;4;13;140.51;40.0
1951;4;14;191.0;40.0
1951;4;15;180.66;40.0
1951;4;16;222.69;40.0
1951;4;17;156.99;40.0
1951;4;18;156.99;40.0
1951;4;19;215.57;40.0
1951;4;20;204.97;40.0
1951;4;21;226.27;40.0
1951;4;22;377.77;40.0
1951;4;23;487.84;40.0
1951;4;24;508.81;40.0
1951;4;25;417.88;40.0
1951;4;26;354.1;40.0
1951;4;27;330.74;40.0
1951;4;28;354.1;40.0
1951;4;29;401.74;40.0
1951;4;30;397.73;40.0
1951;5;1;450.53;40.0
1951;5;2;475.34;40.0
1951;5;3;483.66;40.0
1951;5;4;492.02;40.0
1951;5;5;442.33;40.0
1951;5;6;377.77;40.0
1951;5;7;330.74;40.0
1951;5;8;307.71;40.0
1951;5;9;450.53;40.0
1951;5;10;577.08;40.0
1951;5;11;664.73;40.0
1951;5;12;745.63;40.0
1951;5;13;240.7;40.0
1951;5;14;620.6;40.0
1951;5;15;673.62;40.0
1951;5;16;559.86;40.0
1951;5;17;564.15;40.0
1951;5;18;611.84;40.0
1951;5;19;542.74;40.0
1951;5;20;521.48;40.0
1951;5;21;534.21;40.0
1951;5;22;517.25;40.0
1951;5;23;458.77;40.0
1951;5;24;442.33;40.0
1951;5;25;434.15;40.0
1951;5;26;417.88;40.0
1951;5;27;438.23;40.0
1951;5;28;417.88;40.0
1951;5;29;393.72;40.0
1951;5;30;401.74;40.0
1951;5;31;397.73;40.0
1951;6;1;450.53;40.0
1951;6;2;397.73;40.0
1951;6;3;393.72;40.0
1951;6;4;377.77;40.0
1951;6;5;338.5;40.0
1951;6;6;358.03;40.0
1951;6;7;350.19;40.0
1951;6;8;338.5;40.0
1951;6;9;346.28;40.0
1951;6;10;346.28;40.0
1951;6;11;338.5;40.0
1951;6;12;323.03;40.0
1951;6;13;330.74;40.0
1951;6;14;292.54;40.0
1951;6;15;292.54;40.0
1951;6;16;277.53;40.0
1951;6;17;300.11;40.0
1951;6;18;292.54;40.0
1951;6;19;262.67;40.0
1951;6;20;292.54;40.0
1951;6;21;262.67;40.0
1951;6;22;300.11;40.0
1951;6;23;346.28;40.0
1951;6;24;319.19;40.0
1951;6;25;323.03;40.0
1951;6;26;307.71;40.0
1951;6;27;307.71;40.0
1951;6;28;323.03;40.0
1951;6;29;323.03;40.0
1951;6;30;334.62;40.0
1951;7;1;381.75;40.0
1951;7;2;405.76;40.0
1951;7;3;354.1;40.0
1951;7;4;319.19;40.0
1951;7;5;334.62;40.0
1951;7;6;334.62;40.0
1951;7;7;334.62;40.0
1951;7;8;334.62;40.0
1951;7;9;323.03;40.0
1951;7;10;338.5;40.0
1951;7;11;330.74;40.0
1951;7;12;323.03;40.0
1951;7;13;323.03;40.0
1951;7;14;338.5;40.0
1951;7;15;330.74;40.0
1951;7;16;369.85;40.0
1951;7;17;361.96;40.0
1951;7;18;346.28;40.0
1951;7;19;346.28;40.0
1951;7;20;346.28;40.0
1951;7;21;346.28;40.0
1951;7;22;354.1;40.0
1951;7;23;323.03;40.0
1951;7;24;292.54;40.0
1951;7;25;285.01;40.0
1951;7;26;292.54;40.0
1951;7;27;292.54;40.0
1951;7;28;285.01;40.0
1951;7;29;285.01;40.0
1951;7;30;300.11;40.0
1951;7;31;285.01;40.0
1951;8;1;300.11;40.0
1951;8;2;300.11;40.0
1951;8;3;300.11;40.0
1951;8;4;300.11;40.0
1951;8;5;300.11;40.0
1951;8;6;300.11;40.0
1951;8;7;300.11;40.0
1951;8;8;307.71;40.0
1951;8;9;300.11;40.0
1951;8;10;300.11;40.0
1951;8;11;300.11;40.0
1951;8;12;292.54;40.0
1951;8;13;277.53;40.0
1951;8;14;285.01;40.0
1951;8;15;277.53;40.0
1951;8;16;270.08;40.0
1951;8;17;270.08;40.0
1951;8;18;277.53;40.0
1951;8;19;270.08;40.0
1951;8;20;285.01;40.0
1951;8;21;277.53;40.0
1951;8;22;277.53;40.0
1951;8;23;277.53;40.0
1951;8;24;292.54;40.0
1951;8;25;300.11;40.0
1951;8;26;285.01;40.0
1951;8;27;315.35;40.0
1951;8;28;323.03;40.0
1951;8;29;315.35;40.0
1951;8;30;323.03;40.0
1951;8;31;307.71;40.0
1951;9;1;307.71;40.0
1951;9;2;307.71;40.0
1951;9;3;285.01;40.0
1951;9;4;285.01;40.0
1951;9;5;285.01;40.0
1951;9;6;292.54;40.0
1951;9;7;277.53;40.0
1951;9;8;277.53;40.0
1951;9;9;277.53;40.0
1951;9;10;300.11;40.0
1951;9;11;307.71;40.0
1951;9;12;300.11;40.0
1951;9;13;315.35;40.0
1951;9;14;346.28;40.0
1951;9;15;323.03;40.0
1951;9;16;277.53;40.0
1951;9;17;277.53;40.0
1951;9;18;277.53;40.0
1951;9;19;266.37;40.0
1951;9;20;270.08;40.0
1951;9;21;266.37;40.0
1951;9;22;273.8;40.0
1951;9;23;273.8;40.0
1951;9;24;285.01;40.0
1951;9;25;277.53;40.0
1951;9;26;281.26;40.0
1951;9;27;285.01;40.0
1951;9;28;288.77;40.0
1951;9;29;288.77;40.0
1951;9;30;285.01;40.0
1951;10;1;285.01;40.0
1951;10;2;296.32;40.0
1951;10;3;300.11;40.0
1951;10;4;292.54;40.0
1951;10;5;300.11;40.0
1951;10;6;311.53;40.0
1951;10;7;323.03;40.0
1951;10;8;377.77;40.0
1951;10;9;409.8;40.0
1951;10;10;417.88;40.0
1951;10;11;409.8;40.0
1951;10;12;426.0;40.0
1951;10;13;434.15;40.0
1951;10;14;458.77;40.0
1951;10;15;504.61;40.0
1951;10;16;483.66;40.0
1951;10;17;559.86;40.0
1951;10;18;500.4;40.0
1951;10;19;483.66;40.0
1951;10;20;385.73;40.0
1951;10;21;307.71;40.0
1951;10;22;342.38;40.0
1951;10;23;361.96;40.0
1951;10;24;346.28;40.0
1951;10;25;330.74;40.0
1951;10;26;361.96;40.0
1951;10;27;426.0;40.0
1951;10;28;517.25;40.0
1951;10;29;525.72;40.0
1951;10;30;492.02;40.0
1951;10;31;450.53;40.0
1951;11;1;454.65;40.0
1951;11;2;397.73;40.0
1951;11;3;373.81;40.0
1951;11;4;354.1;40.0
1951;11;5;346.28;40.0
1951;11;6;330.74;40.0
1951;11;7;307.71;40.0
1951;11;8;292.54;40.0
1951;11;9;292.54;40.0
1951;11;10;292.54;40.0
1951;11;11;300.11;40.0
1951;11;12;292.54;40.0
1951;11;13;300.11;40.0
1951;11;14;300.11;40.0
1951;11;15;292.54;40.0
1951;11;16;262.67;40.0
1951;11;17;255.31;40.0
1951;11;18;247.98;40.0
1951;11;19;240.7;40.0
1951;11;20;255.31;40.0
1951;11;21;266.37;40.0
1951;11;22;266.37;40.0
1951;11;23;266.37;40.0
1951;11;24;255.31;40.0
1951;11;25;208.49;40.0
1951;11;26;315.35;40.0
1951;11;27;285.01;40.0
1951;11;28;281.26;40.0
1951;11;29;255.31;40.0
1951;11;30;281.26;40.0
1951;12;1;270.08;40.0
1951;12;2;255.31;40.0
1951;12;3;270.08;40.0
1951;12;4;270.08;40.0
1951;12;5;247.98;40.0
1951;12;6;255.31;40.0
1951;12;7;262.67;40.0
1951;12;8;262.67;40.0
1951;12;9;277.53;40.0
1951;12;10;338.5;40.0
1951;12;11;385.73;40.0
1951;12;12;551.28;40.0
1951;12;13;673.62;40.0
1951;12;14;559.86;40.0
1951;12;15;442.33;40.0
1951;12;16;385.73;40.0
1951;12;17;409.8;40.0
1951;12;18;450.53;40.0
1951;12;19;450.53;40.0
1951;12;20;369.85;40.0
1951;12;21;369.85;40.0
1951;12;22;354.1;40.0
1951;12;23;307.71;40.0
1951;12;24;338.5;40.0
1951;12;25;338.5;40.0
1951;12;26;338.5;40.0
1951;12;27;338.5;40.0
1951;12;28;338.5;40.0
1951;12;29;292.54;40.0
1951;12;30;307.71;40.0
1951;12;31;303.9;40.0
1952;1;1;292.54;40.0
1952;1;2;323.03;40.0
1952;1;3;277.53;40.0
1952;1;4;393.72;40.0
1952;1;5;361.96;40.0
1952;1;6;330.74;40.0
1952;1;7;397.73;40.0
1952;1;8;467.04;40.0
1952;1;9;426.0;40.0
1952;1;10;413.83;40.0
1952;1;11;417.88;40.0
1952;1;12;417.88;40.0
1952;1;13;417.88;40.0
1952;1;14;405.76;40.0
1952;1;15;393.72;40.0
1952;1;16;393.72;40.0
1952;1;17;401.74;40.0
1952;1;18;417.88;40.0
1952;1;19;611.84;40.0
1952;1;20;603.12;40.0
1952;1;21;682.54;40.0
1952;1;22;673.62;40.0
1952;1;23;655.85;40.0
1952;1;24;547.01;40.0
1952;1;25;620.6;40.0
1952;1;26;611.84;40.0
1952;1;27;655.85;40.0
1952;1;28;611.84;40.0
1952;1;29;629.37;40.0
1952;1;30;594.41;40.0
1952;1;31;727.49;40.0
1952;2;1;718.46;40.0
1952;2;2;709.45;40.0
1952;2;3;647.0;40.0
1952;2;4;633.77;40.0
1952;2;5;664.73;40.0
1952;2;6;664.73;40.0
1952;2;7;664.73;40.0
1952;2;8;620.6;40.0
1952;2;9;594.41;40.0
1952;2;10;594.41;40.0
1952;2;11;577.08;40.0
1952;2;12;577.08;40.0
1952;2;13;577.08;40.0
1952;2;14;577.08;40.0
1952;2;15;585.74;40.0
1952;2;16;594.41;40.0
1952;2;17;607.48;40.0
1952;2;18;620.6;40.0
1952;2;19;865.63;40.0
1952;2;20;993.85;40.0
1952;2;21;846.94;40.0
1952;2;22;682.54;40.0
1952;2;23;611.84;40.0
1952;2;24;709.45;40.0
1952;2;25;709.45;40.0
1952;2;26;819.06;40.0
1952;2;27;800.57;40.0
1952;2;28;819.06;40.0
1952;2;29;647.0;40.0
1952;3;1;467.04;40.0
1952;3;2;401.74;40.0
1952;3;3;442.33;40.0
1952;3;4;492.02;40.0
1952;3;5;442.33;40.0
1952;3;6;417.88;40.0
1952;3;7;385.73;40.0
1952;3;8;385.73;40.0
1952;3;9;361.96;40.0
1952;3;10;346.28;40.0
1952;3;11;334.62;40.0
1952;3;12;311.53;40.0
1952;3;13;330.74;40.0
1952;3;14;342.38;40.0
1952;3;15;346.28;40.0
1952;3;16;342.38;40.0
1952;3;17;417.88;40.0
1952;3;18;483.66;40.0
1952;3;19;542.74;40.0
1952;3;20;483.66;40.0
1952;3;21;385.73;40.0
1952;3;22;369.85;40.0
1952;3;23;358.03;40.0
1952;3;24;311.53;40.0
1952;3;25;326.88;40.0
1952;3;26;319.19;40.0
1952;3;27;307.71;40.0
1952;3;28;307.71;40.0
1952;3;29;311.53;40.0
1952;3;30;326.88;40.0
1952;3;31;330.74;40.0
1952;4;1;319.19;40.0
1952;4;2;311.53;40.0
1952;4;3;334.62;40.0
1952;4;4;381.75;40.0
1952;4;5;373.81;40.0
1952;4;6;315.35;40.0
1952;4;7;307.71;40.0
1952;4;8;315.35;40.0
1952;4;9;300.11;40.0
1952;4;10;288.77;40.0
1952;4;11;296.32;40.0
1952;4;12;307.71;40.0
1952;4;13;288.77;40.0
1952;4;14;285.01;40.0
1952;4;15;281.26;40.0
1952;4;16;346.28;40.0
1952;4;17;647.0;40.0
1952;4;18;655.85;40.0
1952;4;19;629.37;40.0
1952;4;20;624.98;40.0
1952;4;21;564.15;40.0
1952;4;22;487.84;40.0
1952;4;23;409.8;40.0
1952;4;24;393.72;40.0
1952;4;25;409.8;40.0
1952;4;26;483.66;40.0
1952;4;27;547.01;40.0
1952;4;28;555.57;40.0
1952;4;29;547.01;40.0
1952;4;30;521.48;40.0
1952;5;1;483.66;40.0
1952;5;2;475.34;40.0
1952;5;3;454.65;40.0
1952;5;4;409.8;40.0
1952;5;5;381.75;40.0
1952;5;6;365.9;40.0
1952;5;7;334.62;40.0
1952;5;8;323.03;40.0
1952;5;9;311.53;40.0
1952;5;10;342.38;40.0
1952;5;11;354.1;40.0
1952;5;12;365.9;40.0
1952;5;13;446.43;40.0
1952;5;14;413.83;40.0
1952;5;15;393.72;40.0
1952;5;16;381.75;40.0
1952;5;17;475.34;40.0
1952;5;18;594.41;40.0
1952;5;19;700.46;40.0
1952;5;20;651.42;40.0
1952;5;21;616.22;40.0
1952;5;22;629.37;40.0
1952;5;23;598.76;40.0
1952;5;24;620.6;40.0
1952;5;25;732.02;40.0
1952;5;26;700.46;40.0
1952;5;27;709.45;40.0
1952;5;28;594.41;40.0
1952;5;29;467.04;40.0
1952;5;30;426.0;40.0
1952;5;31;405.76;40.0
1952;6;1;389.72;40.0
1952;6;2;377.77;40.0
1952;6;3;365.9;40.0
1952;6;4;350.19;40.0
1952;6;5;346.28;40.0
1952;6;6;346.28;40.0
1952;6;7;342.38;40.0
1952;6;8;334.62;40.0
1952;6;9;354.1;40.0
1952;6;10;358.03;40.0
1952;6;11;393.72;40.0
1952;6;12;421.94;40.0
1952;6;13;393.72;40.0
1952;6;14;365.9;40.0
1952;6;15;354.1;40.0
1952;6;16;354.1;40.0
1952;6;17;361.96;40.0
1952;6;18;365.9;40.0
1952;6;19;361.96;40.0
1952;6;20;334.62;40.0
1952;6;21;350.19;40.0
1952;6;22;338.5;40.0
1952;6;23;346.28;40.0
1952;6;24;358.03;40.0
1952;6;25;358.03;40.0
1952;6;26;326.88;40.0
1952;6;27;350.19;40.0
1952;6;28;354.1;40.0
1952;6;29;354.1;40.0
1952;6;30;369.85;40.0
1952;7;1;358.03;40.0
1952;7;2;358.03;40.0
1952;7;3;358.03;40.0
1952;7;4;373.81;40.0
1952;7;5;393.72;40.0
1952;7;6;421.94;40.0
1952;7;7;426.0;40.0
