date,P_mm,T_degC,solid_P_mm
1999-02-03,15.063,-3.934,14.19
1999-02-04,3.198,-9.511,3.207
1999-02-05,0.0,-12.007,0.009
1999-02-06,0.183,-12.876,0.21
1999-02-07,0.39,-11.961,0.402
1999-02-08,0.0,-12.752,0.006
1999-02-09,0.066,-7.591,0.09
1999-02-10,0.609,-1.568,0.537
1999-02-11,14.88,0.801,5.433
1999-02-12,26.193,0.399,12.138
1999-02-13,12.969,-1.739,8.667
1999-02-14,15.144,-2.302,11.286
1999-02-15,4.005,-7.754,3.981
1999-02-16,0.942,-14.504,0.96
1999-02-17,9.789,-9.496,9.753
1999-02-18,17.313,-4.138,17.091
1999-02-19,3.483,-10.95,3.495
1999-02-20,1.8,-9.221,1.833
1999-02-21,2.415,-7.417,2.439
1999-02-22,0.033,-10.492,0.048
1999-02-23,9.732,-5.332,9.732
1999-02-24,24.036,0.769,13.464
1999-02-25,13.941,-2.727,10.95
1999-02-26,6.867,-5.93,6.846
1999-02-27,1.905,-6.793,1.935
1999-02-28,0.015,-7.293,0.015
1999-03-01,0.0,-6.531,0.0
1999-03-02,0.006,-7.126,0.012
1999-03-03,0.258,-8.616,0.288
1999-03-04,0.153,-9.801,0.186
1999-03-05,0.153,-9.452,0.18
1999-03-06,8.298,-5.275,8.292
1999-03-07,0.741,-5.065,0.777
1999-03-08,0.0,-8.436,0.006
1999-03-09,1.308,-7.322,1.341
1999-03-10,0.66,-7.512,0.684
1999-03-11,1.08,-3.669,1.104
1999-03-12,0.057,-3.382,0.075
1999-03-13,0.918,-3.865,0.945
1999-03-14,0.402,-5.733,0.432
1999-03-15,0.225,-6.945,0.258
1999-03-16,0.135,-5.088,0.159
1999-03-17,13.272,-1.292,11.757
1999-03-18,2.415,-7.255,2.433
1999-03-19,0.342,-7.9,0.351
1999-03-20,9.162,-3.756,9.117
1999-03-21,0.009,-8.517,0.018
1999-03-22,4.662,-6.689,4.656
1999-03-23,0.177,-7.322,0.228
1999-03-24,0.0,-6.537,0.015
1999-03-25,0.093,-5.822,0.15
1999-03-26,5.7,-5.033,5.706
1999-03-27,0.246,-5.983,0.273
1999-03-28,1.329,-2.206,1.389
1999-03-29,0.42,-3.904,0.453
1999-03-30,0.09,-11.609,0.105
1999-03-31,0.0,-10.28,0.0
1999-04-01,0.0,-7.553,0.0
1999-04-02,0.0,-3.236,0.0
1999-04-03,0.003,0.059,0.0
1999-04-04,4.659,2.322,1.059
1999-04-05,10.104,2.591,1.497
1999-04-06,0.927,1.196,0.321
1999-04-07,26.958,1.246,9.606
1999-04-08,10.08,-0.074,7.08
1999-04-09,4.857,-0.711,3.783
1999-04-10,6.519,-2.118,6.153
1999-04-11,7.77,-3.314,7.551
1999-04-12,0.54,-10.668,0.576
1999-04-13,1.05,-8.885,1.092
1999-04-14,6.264,-7.532,6.249
1999-04-15,4.731,-6.529,4.74
1999-04-16,1.041,-9.082,1.092
1999-04-17,0.534,-7.557,0.567
1999-04-18,0.168,-5.842,0.21
1999-04-19,0.585,-1.159,0.579
1999-04-20,0.024,-2.934,0.033
1999-04-21,0.0,-2.15,0.0
1999-04-22,0.0,-1.457,0.0
1999-04-23,0.0,-1.298,0.0
1999-04-24,0.084,1.128,0.012
1999-04-25,5.064,3.183,1.296
1999-04-26,5.184,3.722,0.27
1999-04-27,6.456,2.823,0.912
1999-04-28,0.669,1.273,0.285
1999-04-29,6.861,0.636,4.641
1999-04-30,2.562,-0.217,1.602
1999-05-01,4.923,-0.286,3.48
1999-05-02,0.09,-0.007,0.072
1999-05-03,6.765,1.103,6.591
1999-05-04,1.548,4.262,0.678
1999-05-05,4.383,4.721,0.465
1999-05-06,0.012,3.782,0.0
1999-05-07,3.909,4.527,0.219
1999-05-08,0.948,3.719,0.282
1999-05-09,0.0,2.853,0.0
1999-05-10,0.0,3.25,0.0
1999-05-11,0.0,4.182,0.0
1999-05-12,0.174,2.606,0.015
1999-05-13,0.696,2.433,0.075
1999-05-14,0.459,0.861,0.411
1999-05-15,13.44,2.023,5.163
1999-05-16,40.731,4.444,3.477
1999-05-17,4.11,2.391,1.59
1999-05-18,14.337,2.206,5.712
1999-05-19,31.944,2.717,9.942
1999-05-20,13.878,0.7,10.494
1999-05-21,3.642,2.101,2.907
1999-05-22,2.262,2.435,1.635
1999-05-23,5.325,1.016,4.119
1999-05-24,1.338,1.487,1.281
1999-05-25,0.381,2.675,0.363
1999-05-26,0.738,2.557,0.105
1999-05-27,0.117,2.849,0.015
1999-05-28,0.003,3.573,0.0
1999-05-29,8.85,2.577,2.532
1999-05-30,25.002,3.774,4.995
1999-05-31,3.138,4.64,0.498
1999-06-01,4.626,3.493,0.813
1999-06-02,1.758,4.082,0.3
1999-06-03,2.766,2.581,1.014
1999-06-04,0.018,4.94,0.0
1999-06-05,0.069,5.203,0.0
1999-06-06,0.102,4.084,0.006
1999-06-07,7.257,3.614,1.17
1999-06-08,5.112,3.813,0.99
1999-06-09,0.0,6.077,0.0
1999-06-10,1.065,7.148,0.0
1999-06-11,6.279,7.503,0.0
1999-06-12,23.457,6.126,0.12
1999-06-13,1.758,4.441,0.18
1999-06-14,12.327,3.288,2.223
1999-06-15,9.966,1.748,4.257
1999-06-16,2.283,2.365,1.608
1999-06-17,13.395,3.369,2.457
1999-06-18,16.272,3.217,4.098
1999-06-19,3.909,4.046,0.852
1999-06-20,0.006,5.346,0.0
1999-06-21,0.105,5.262,0.03
1999-06-22,5.049,5.422,0.552
1999-06-23,9.354,5.724,0.384
1999-06-24,2.526,3.714,0.849
1999-06-25,14.685,3.395,4.347
1999-06-26,7.155,5.422,0.621
1999-06-27,0.378,8.488,0.027
1999-06-28,1.077,10.359,0.0
1999-06-29,0.021,12.164,0.0
1999-06-30,0.0,12.657,0.0
1999-07-01,0.006,10.854,0.0
1999-07-02,0.0,11.288,0.0
1999-07-03,0.51,9.458,0.0
1999-07-04,1.434,6.359,0.015
1999-07-05,2.151,7.998,0.003
1999-07-06,1.488,8.309,0.003
1999-07-07,3.966,7.347,0.0
1999-07-08,6.576,8.794,0.0
1999-07-09,18.441,6.971,0.321
1999-07-10,11.286,6.066,0.378
1999-07-11,14.865,7.342,0.039
1999-07-12,8.484,6.282,0.117
1999-07-13,7.362,6.631,0.111
1999-07-14,5.028,4.922,0.738
1999-07-15,3.336,3.981,0.591
1999-07-16,1.905,4.737,0.201
1999-07-17,0.42,7.702,0.048
1999-07-18,4.566,9.125,0.0
1999-07-19,2.745,7.914,0.003
1999-07-20,1.068,7.756,0.0
1999-07-21,0.0,8.491,0.0
1999-07-22,6.774,6.977,0.417
1999-07-23,10.758,6.474,0.045
1999-07-24,0.408,5.769,0.12
1999-07-25,0.312,7.257,0.0
1999-07-26,0.507,7.975,0.0
1999-07-27,0.243,8.09,0.0
1999-07-28,0.0,10.494,0.0
1999-07-29,0.0,11.761,0.0
1999-07-30,0.009,11.71,0.0
1999-07-31,0.879,10.367,0.0
1999-08-01,1.911,10.076,0.0
1999-08-02,0.927,11.867,0.0
1999-08-03,0.0,12.366,0.0
1999-08-04,0.012,12.86,0.0
1999-08-05,0.0,14.712,0.0
1999-08-06,0.066,11.348,0.0
1999-08-07,0.177,8.527,0.0
1999-08-08,1.899,7.778,0.0
1999-08-09,15.192,6.312,0.267
1999-08-10,6.507,6.889,0.072
1999-08-11,2.946,7.474,0.024
1999-08-12,10.107,6.998,0.105
1999-08-13,1.566,7.372,0.0
1999-08-14,8.004,6.896,0.027
1999-08-15,2.211,6.732,0.024
1999-08-16,0.0,5.713,0.0
1999-08-17,0.018,7.089,0.012
1999-08-18,0.003,7.395,0.0
1999-08-19,0.0,6.622,0.0
1999-08-20,1.815,6.412,0.039
1999-08-21,6.504,7.502,0.09
1999-08-22,0.756,7.286,0.0
1999-08-23,4.233,7.495,0.0
1999-08-24,2.031,7.506,0.0
1999-08-25,0.369,7.148,0.0
1999-08-26,0.153,6.893,0.0
1999-08-27,11.268,6.656,0.09
1999-08-28,8.478,6.387,0.237
1999-08-29,5.313,5.528,0.474
1999-08-30,6.24,5.998,0.015
1999-08-31,14.184,6.335,0.507
1999-09-01,16.65,4.136,5.01
1999-09-02,22.74,3.948,7.326
1999-09-03,10.887,3.558,2.541
1999-09-04,16.473,4.251,2.379
1999-09-05,11.145,2.848,3.9
1999-09-06,5.997,2.966,1.659
1999-09-07,0.462,4.276,0.096
1999-09-08,3.837,5.361,1.125
1999-09-09,1.803,3.077,0.969
1999-09-10,14.88,2.733,4.233
1999-09-11,8.304,4.578,0.771
1999-09-12,3.042,2.094,1.512
1999-09-13,0.864,3.547,0.234
1999-09-14,2.436,4.656,0.825
1999-09-15,13.212,6.483,0.528
1999-09-16,6.822,7.017,0.021
1999-09-17,6.324,7.769,0.012
1999-09-18,0.516,5.809,0.024
1999-09-19,6.372,7.457,0.0
1999-09-20,1.188,9.458,0.0
1999-09-21,0.0,9.089,0.0
1999-09-22,0.0,8.29,0.0
1999-09-23,0.414,6.731,0.0
1999-09-24,1.998,6.94,0.0
1999-09-25,1.221,7.478,0.0
1999-09-26,8.619,5.422,0.96
1999-09-27,5.991,-0.344,2.679
1999-09-28,0.009,-1.072,0.003
1999-09-29,17.385,0.754,9.174
1999-09-30,8.748,2.146,3.69
1999-10-01,1.257,2.967,0.723
1999-10-02,0.456,0.38,0.438
1999-10-03,0.117,-2.751,0.123
1999-10-04,9.108,1.995,1.698
1999-10-05,13.935,3.094,2.691
1999-10-06,20.475,1.929,7.842
1999-10-07,2.403,-0.366,1.641
1999-10-08,0.183,-3.352,0.201
1999-10-09,14.181,-0.402,11.001
1999-10-10,4.983,0.406,2.865
1999-10-11,0.105,-1.704,0.114
1999-10-12,23.736,1.156,8.514
1999-10-13,21.183,3.707,2.577
1999-10-14,44.556,7.007,0.201
1999-10-15,41.886,4.303,1.044
1999-10-16,0.018,1.255,0.012
1999-10-17,1.221,2.252,0.288
1999-10-18,1.179,4.845,0.132
1999-10-19,2.028,4.771,0.048
1999-10-20,0.834,3.992,0.372
1999-10-21,0.489,3.1,0.123
1999-10-22,0.054,2.214,0.018
1999-10-23,0.045,1.057,0.054
1999-10-24,0.843,0.826,0.657
1999-10-25,0.528,-1.852,0.555
1999-10-26,26.862,-0.447,19.56
1999-10-27,15.267,1.078,8.973
1999-10-28,13.386,-0.076,10.878
1999-10-29,1.569,-1.552,1.413
1999-10-30,0.267,-3.859,0.294
1999-10-31,3.168,-1.264,3.171
1999-11-01,1.332,-1.243,1.299
1999-11-02,0.639,-4.21,0.669
1999-11-03,20.292,-1.189,16.947
1999-11-04,1.893,-5.168,1.92
1999-11-05,0.117,-6.286,0.129
1999-11-06,14.7,-0.649,10.239
1999-11-07,13.704,0.516,9.372
1999-11-08,3.399,-0.783,1.962
1999-11-09,7.962,3.521,0.894
1999-11-10,22.371,5.249,0.0
1999-11-11,12.105,5.917,0.021
1999-11-12,14.937,4.55,0.138
1999-11-13,14.706,4.786,0.693
1999-11-14,3.105,-1.438,2.874
1999-11-15,1.647,-3.785,1.665
1999-11-16,0.087,-8.256,0.096
1999-11-17,0.441,-3.276,0.441
1999-11-18,1.623,1.595,0.111
1999-11-19,11.109,5.039,0.024
1999-11-20,8.748,-0.956,5.589
1999-11-21,16.071,-2.179,15.648
1999-11-22,8.352,-4.257,8.343
1999-11-23,4.566,-6.307,4.59
1999-11-24,0.339,-8.274,0.393
1999-11-25,0.069,-8.653,0.084
1999-11-26,0.237,-8.918,0.267
1999-11-27,0.03,-12.064,0.039
1999-11-28,18.924,-7.404,18.924
1999-11-29,1.221,-7.35,1.242
1999-11-30,1.377,-10.11,1.407
1999-12-01,8.907,-8.192,8.91
1999-12-02,1.983,-9.45,2.022
1999-12-03,1.635,-6.603,1.677
1999-12-04,0.972,-9.606,1.032
1999-12-05,6.309,-8.496,6.315
1999-12-06,4.794,-4.76,4.821
1999-12-07,0.033,-4.706,0.072
1999-12-08,0.0,-5.89,0.012
1999-12-09,0.03,-7.426,0.039
1999-12-10,2.238,-5.786,2.28
1999-12-11,8.076,-4.087,8.088
1999-12-12,4.047,-2.702,3.924
1999-12-13,3.12,-2.057,3.036
1999-12-14,4.374,-4.477,4.284
1999-12-15,9.078,-4.04,8.589
1999-12-16,0.177,-7.766,0.222
1999-12-17,0.045,-14.157,0.075
1999-12-18,0.006,-13.859,0.015
1999-12-19,1.44,-8.468,1.41
1999-12-20,22.119,0.896,13.452
1999-12-21,3.669,0.489,2.292
1999-12-22,2.619,-2.371,2.418
1999-12-23,0.75,-4.58,0.768
1999-12-24,0.189,-7.502,0.231
1999-12-25,0.168,-7.439,0.198
1999-12-26,0.624,-8.627,0.66
1999-12-27,1.26,-7.044,1.293
1999-12-28,0.084,-6.935,0.111
1999-12-29,17.304,-2.312,14.223
1999-12-30,11.655,-3.72,10.947
1999-12-31,40.488,-1.422,22.731
2000-01-01,8.13,-5.158,8.142
2000-01-02,9.783,-5.243,9.777
2000-01-03,2.622,-8.311,2.667
2000-01-04,0.045,-9.392,0.051
2000-01-05,0.189,-10.999,0.222
2000-01-06,3.849,-9.079,3.885
2000-01-07,7.485,-5.164,7.506
2000-01-08,1.422,-6.964,1.461
2000-01-09,15.633,-3.961,13.002
2000-01-10,26.649,-2.256,23.301
2000-01-11,2.586,-7.99,2.619
2000-01-12,0.99,-8.487,1.011
2000-01-13,1.5,-4.733,1.455
2000-01-14,18.492,1.298,6.198
2000-01-15,17.307,1.82,6.849
2000-01-16,9.906,2.063,2.127
2000-01-17,5.49,1.99,0.858
2000-01-18,0.837,-0.357,0.51
2000-01-19,1.536,-0.368,0.78
2000-01-20,1.221,0.092,0.621
2000-01-21,6.087,-1.61,2.106
2000-01-22,0.858,-2.757,0.465
2000-01-23,0.153,-1.16,0.039
2000-01-24,0.819,1.02,0.123
2000-01-25,5.301,-0.49,2.691
2000-01-26,6.213,-3.608,6.03
2000-01-27,0.45,-9.432,0.468
2000-01-28,18.471,-6.814,18.354
2000-01-29,1.569,-9.944,1.593
2000-01-30,8.235,-9.154,8.241
2000-01-31,15.723,-7.674,15.588
2000-02-01,8.808,-5.261,8.766
2000-02-02,0.588,-7.054,0.6
2000-02-03,7.218,-3.062,6.789
2000-02-04,24.081,-0.562,11.064
2000-02-05,17.832,-0.806,15.798
2000-02-06,9.393,-3.592,9.354
2000-02-07,10.803,-5.04,10.713
2000-02-08,0.255,-3.068,0.279
2000-02-09,16.164,-2.633,16.047
2000-02-10,1.854,-8.472,1.875
2000-02-11,16.251,-6.596,16.239
2000-02-12,4.944,-9.159,4.959
2000-02-13,2.259,-10.996,2.298
2000-02-14,21.723,-3.675,21.354
2000-02-15,2.238,-8.392,2.259
2000-02-16,0.0,-8.368,0.003
2000-02-17,0.0,-7.911,0.0
2000-02-18,0.0,-11.912,0.0
2000-02-19,4.572,-7.483,4.611
2000-02-20,16.941,-3.659,16.449
2000-02-21,7.065,-6.459,7.062
2000-02-22,4.677,-5.43,4.65
2000-02-23,29.544,-2.039,27.105
2000-02-24,1.971,-6.021,1.953
2000-02-25,4.908,-8.24,4.86
2000-02-26,6.894,-3.603,6.852
2000-02-27,7.98,-5.511,7.992
2000-02-28,5.982,-3.341,5.997
2000-02-29,0.303,-7.217,0.327
2000-03-01,5.238,-8.091,5.238
2000-03-02,5.661,-8.528,5.676
2000-03-03,0.369,-12.874,0.399
2000-03-04,34.839,-5.473,26.037
2000-03-05,18.228,-7.463,8.64
2000-03-06,0.285,-12.088,0.315
2000-03-07,1.152,-7.573,1.188
2000-03-08,0.282,-8.048,0.333
2000-03-09,20.445,-3.166,16.56
2000-03-10,12.489,-1.06,7.866
2000-03-11,5.382,-1.745,4.212
2000-03-12,15.285,-2.696,9.948
2000-03-13,4.809,-7.302,4.812
2000-03-14,1.449,-7.469,1.488
2000-03-15,25.899,0.658,5.076
2000-03-16,22.188,0.345,2.769
2000-03-17,17.049,-1.35,14.781
2000-03-18,20.241,-2.419,17.592
2000-03-19,15.435,-4.812,15.189
2000-03-20,4.812,-7.433,4.818
2000-03-21,2.004,-10.178,2.007
2000-03-22,1.176,-10.179,1.194
2000-03-23,19.026,-3.587,17.295
2000-03-24,1.683,0.562,0.915
2000-03-25,1.434,0.169,0.855
2000-03-26,9.921,0.333,5.052
2000-03-27,43.356,2.444,13.197
2000-03-28,12.051,2.8,1.791
2000-03-29,8.868,0.885,3.033
2000-03-30,4.71,-1.908,3.423
2000-03-31,0.009,-10.683,0.03
2000-04-01,0.009,-11.727,0.018
2000-04-02,2.724,-9.335,2.733
2000-04-03,4.329,-3.899,4.092
2000-04-04,16.788,0.047,10.821
2000-04-05,0.909,-0.683,0.729
2000-04-06,18.909,1.524,7.077
2000-04-07,4.266,0.173,1.929
2000-04-08,20.994,1.66,5.709
2000-04-09,4.395,-0.688,3.924
2000-04-10,1.227,-2.577,1.248
2000-04-11,0.027,-8.618,0.075
2000-04-12,0.0,-8.816,0.003
2000-04-13,0.003,-2.858,0.003
2000-04-14,2.076,-2.525,2.064
2000-04-15,0.273,-6.129,0.303
2000-04-16,0.0,-8.941,0.0
2000-04-17,0.0,-9.756,0.0
2000-04-18,0.0,-9.12,0.006
2000-04-19,0.0,-8.388,0.0
2000-04-20,0.0,-7.5,0.0
2000-04-21,0.0,-6.703,0.006
2000-04-22,0.0,-6.611,0.0
2000-04-23,0.0,-7.649,0.0
2000-04-24,0.0,-7.076,0.0
2000-04-25,0.024,-6.08,0.024
2000-04-26,1.08,-2.924,0.933
2000-04-27,0.594,-0.457,0.579
2000-04-28,0.012,-0.242,0.012
2000-04-29,2.955,2.549,0.825
2000-04-30,11.499,2.198,4.836
2000-05-01,17.598,1.334,7.44
2000-05-02,4.785,1.463,1.287
2000-05-03,13.41,2.724,2.718
2000-05-04,2.127,1.816,1.485
2000-05-05,16.236,2.15,5.514
2000-05-06,12.765,1.558,6.144
2000-05-07,21.402,2.517,6.102
2000-05-08,33.231,2.464,5.154
2000-05-09,1.413,1.228,1.11
2000-05-10,4.809,2.186,1.92
2000-05-11,1.752,4.494,0.0
2000-05-12,0.123,5.588,0.0
2000-05-13,1.332,6.45,0.0
2000-05-14,6.957,5.333,0.039
2000-05-15,3.174,5.445,0.228
2000-05-16,13.038,3.266,1.341
2000-05-17,1.434,0.338,0.861
2000-05-18,0.525,-2.496,0.546
2000-05-19,0.0,-0.632,0.003
2000-05-20,2.673,1.302,1.596
2000-05-21,6.156,1.448,3.576
2000-05-22,9.267,0.966,6.213
2000-05-23,8.301,1.694,4.653
2000-05-24,2.721,1.547,1.221
2000-05-25,3.006,3.144,0.87
2000-05-26,1.743,3.586,0.102
2000-05-27,0.042,3.762,0.033
2000-05-28,0.615,2.403,0.087
2000-05-29,0.33,1.29,0.084
2000-05-30,0.033,-0.597,0.06
2000-05-31,0.504,0.43,0.468
2000-06-01,2.676,1.166,1.815
2000-06-02,0.027,0.869,0.045
2000-06-03,1.476,2.455,0.426
2000-06-04,0.801,4.568,0.096
2000-06-05,0.102,4.639,0.027
2000-06-06,0.687,5.156,0.078
2000-06-07,5.373,4.702,0.51
2000-06-08,0.828,5.786,0.006
2000-06-09,2.811,6.059,0.081
2000-06-10,0.303,5.509,0.21
2000-06-11,7.56,3.143,0.951
2000-06-12,1.926,4.21,0.66
2000-06-13,0.003,2.393,0.018
2000-06-14,0.015,3.929,0.009
2000-06-15,0.003,5.417,0.0
2000-06-16,6.591,4.176,0.798
2000-06-17,9.069,6.678,0.114
2000-06-18,6.561,5.561,0.099
2000-06-19,1.374,5.59,0.117
2000-06-20,1.854,6.36,0.231
2000-06-21,0.048,6.144,0.0
2000-06-22,0.078,6.934,0.0
2000-06-23,0.249,8.039,0.0
2000-06-24,0.531,8.712,0.0
2000-06-25,2.58,7.396,0.027
2000-06-26,0.978,6.892,0.003
2000-06-27,15.729,4.587,2.418
2000-06-28,7.203,7.597,0.0
2000-06-29,0.084,10.63,0.0
2000-06-30,1.641,12.331,0.0
2000-07-01,0.0,12.336,0.0
2000-07-02,0.0,11.755,0.0
2000-07-03,0.51,8.348,0.0
2000-07-04,0.933,7.964,0.0
2000-07-05,1.2,7.567,0.0
2000-07-06,3.639,7.124,0.009
2000-07-07,3.144,7.395,0.006
2000-07-08,0.42,8.824,0.0
2000-07-09,0.0,11.305,0.0
2000-07-10,0.0,11.257,0.0
2000-07-11,1.323,7.146,0.015
2000-07-12,5.538,6.976,0.192
2000-07-13,0.642,7.34,0.03
2000-07-14,0.372,8.475,0.009
2000-07-15,37.584,7.725,0.096
2000-07-16,4.956,8.618,0.0
2000-07-17,4.722,6.28,0.093
2000-07-18,4.956,6.129,0.474
2000-07-19,0.057,5.996,0.021
2000-07-20,31.494,7.059,0.126
2000-07-21,16.044,8.954,0.0
2000-07-22,14.955,9.261,0.0
2000-07-23,0.387,9.925,0.0
2000-07-24,0.003,12.673,0.0
2000-07-25,0.0,13.916,0.0
2000-07-26,0.03,12.765,0.0
2000-07-27,0.027,11.489,0.0
2000-07-28,0.0,11.685,0.0
2000-07-29,0.051,11.365,0.0
2000-07-30,0.312,10.303,0.0
2000-07-31,0.009,10.746,0.0
2000-08-01,0.0,9.776,0.0
2000-08-02,0.594,6.89,0.0
2000-08-03,0.576,7.764,0.0
2000-08-04,2.478,7.246,0.0
2000-08-05,1.119,5.871,0.147
2000-08-06,0.003,6.98,0.0
2000-08-07,0.333,7.775,0.0
2000-08-08,2.082,10.086,0.0
2000-08-09,6.063,8.848,0.0
2000-08-10,0.03,8.078,0.0
2000-08-11,5.94,7.86,0.003
2000-08-12,3.654,8.896,0.003
2000-08-13,9.846,8.299,0.039
2000-08-14,5.598,8.219,0.0
2000-08-15,2.808,8.142,0.012
2000-08-16,6.048,6.563,0.141
2000-08-17,0.015,6.987,0.0
2000-08-18,0.018,6.407,0.003
2000-08-19,0.0,7.734,0.0
2000-08-20,0.012,7.891,0.0
2000-08-21,0.012,7.555,0.0
2000-08-22,10.686,7.43,0.0
2000-08-23,3.333,8.215,0.0
2000-08-24,6.666,7.701,0.045
2000-08-25,16.608,7.021,0.384
2000-08-26,9.498,6.926,0.09
2000-08-27,6.726,5.751,0.213
2000-08-28,0.033,5.86,0.003
2000-08-29,1.557,5.938,0.036
2000-08-30,13.428,6.41,0.093
2000-08-31,0.045,6.946,0.003
2000-09-01,0.009,6.028,0.0
2000-09-02,0.0,5.817,0.0
2000-09-03,0.225,7.297,0.0
2000-09-04,14.064,7.418,0.021
2000-09-05,0.477,5.441,0.063
2000-09-06,1.233,5.101,0.171
2000-09-07,10.437,5.76,1.233
2000-09-08,1.815,3.394,0.675
2000-09-09,0.177,3.079,0.165
2000-09-10,1.155,3.808,0.183
2000-09-11,24.543,6.362,0.522
2000-09-12,67.914,6.264,1.617
2000-09-13,27.084,5.092,1.32
2000-09-14,15.123,4.456,1.296
2000-09-15,1.953,5.345,0.03
2000-09-16,0.801,3.783,0.153
2000-09-17,0.819,1.218,0.753
2000-09-18,0.261,-2.068,0.294
2000-09-19,0.0,-0.509,0.0
2000-09-20,0.351,3.296,0.015
2000-09-21,5.217,6.378,0.261
2000-09-22,2.544,5.456,0.063
2000-09-23,0.006,4.928,0.0
2000-09-24,0.651,7.067,0.0
2000-09-25,2.742,7.851,0.015
2000-09-26,6.606,7.591,0.009
2000-09-27,1.311,7.158,0.003
2000-09-28,0.255,6.2,0.0
2000-09-29,0.657,5.474,0.051
2000-09-30,5.463,2.283,1.815
2000-10-01,15.306,1.929,3.69
2000-10-02,21.627,1.194,8.844
2000-10-03,3.489,0.119,2.853
2000-10-04,0.009,-0.869,0.015
2000-10-05,0.228,-0.556,0.171
2000-10-06,11.316,3.613,2.391
2000-10-07,1.122,1.521,0.114
2000-10-08,2.118,0.456,0.99
2000-10-09,1.014,0.503,0.867
2000-10-10,0.0,-1.234,0.0
2000-10-11,0.114,-2.793,0.129
2000-10-12,0.003,-5.29,0.015
2000-10-13,5.319,-1.368,3.402
2000-10-14,7.941,1.868,4.878
2000-10-15,14.367,2.38,3.651
2000-10-16,12.075,2.068,2.871
2000-10-17,7.722,2.208,1.071
2000-10-18,3.984,2.148,0.126
2000-10-19,0.198,1.21,0.285
2000-10-20,0.3,0.44,1.392
2000-10-21,1.857,-0.16,0.294
2000-10-22,0.57,1.848,0.645
2000-10-23,2.148,2.126,1.002
2000-10-24,2.394,1.723,0.36
2000-10-25,1.263,1.731,1.428
2000-10-26,3.342,2.235,5.943
2000-10-27,13.476,2.438,0.69
2000-10-28,1.002,1.559,0.048
2000-10-29,0.036,1.017,0.636
2000-10-30,0.609,0.075,1.023
2000-10-31,1.032,-0.9,inf
2000-11-01,3.117,-1.917,3.135
2000-11-02,1.365,-3.254,1.404
2000-11-03,0.459,-1.463,0.486
2000-11-04,0.0,-1.868,0.003
2000-11-05,0.045,-6.219,0.072
2000-11-06,0.036,-8.57,0.06
2000-11-07,0.0,-8.041,0.0
2000-11-08,0.021,-6.204,0.033
2000-11-09,2.07,-1.723,2.034
2000-11-10,2.205,-1.737,2.178
2000-11-11,0.153,-5.249,0.177
2000-11-12,0.63,-8.215,0.669
2000-11-13,0.0,-6.794,0.003
2000-11-14,18.369,-1.272,12.339
2000-11-15,1.218,-2.575,1.14
2000-11-16,0.348,-6.334,0.396
2000-11-17,0.597,-7.944,0.615
2000-11-18,0.603,-2.886,0.594
2000-11-19,0.201,-1.278,0.159
2000-11-20,0.0,-4.246,0.0
2000-11-21,0.03,-1.453,0.03
2000-11-22,0.18,-0.999,0.123
2000-11-23,0.303,-2.842,0.315
2000-11-24,0.336,-1.438,0.327
2000-11-25,0.315,-2.233,0.336
2000-11-26,0.399,-2.829,0.432
2000-11-27,4.119,-0.304,3.315
2000-11-28,1.578,-1.822,1.491
2000-11-29,0.597,-0.696,0.504
2000-11-30,2.682,1.07,1.107
2000-12-01,1.986,0.475,0.813
2000-12-02,0.021,1.198,0.009
2000-12-03,0.051,-0.671,0.054
2000-12-04,0.105,-0.837,0.117
2000-12-05,0.033,-1.181,0.057
2000-12-06,0.504,-0.505,0.513
2000-12-07,0.006,-0.556,0.015
2000-12-08,4.737,1.206,2.325
2000-12-09,0.369,-0.676,0.171
2000-12-10,0.027,-2.776,0.036
2000-12-11,0.015,-7.214,0.033
2000-12-12,0.081,-8.382,0.117
2000-12-13,1.833,-6.178,1.869
2000-12-14,0.579,-7.858,0.612
2000-12-15,19.641,-3.757,19.536
2000-12-16,7.383,-5.224,7.365
2000-12-17,1.494,-1.531,1.515
2000-12-18,2.19,0.255,1.434
2000-12-19,1.518,0.472,0.78
2000-12-20,4.497,0.587,2.34
2000-12-21,0.945,-0.727,0.252
2000-12-22,0.246,-2.38,0.273
2000-12-23,0.0,-7.247,0.015
2000-12-24,0.012,-8.264,0.027
2000-12-25,0.105,-7.51,0.138
2000-12-26,0.06,-9.849,0.09
2000-12-27,0.0,-11.028,0.0
2000-12-28,0.0,-9.35,0.0
2000-12-29,0.102,-9.249,0.162
2000-12-30,0.042,-15.258,0.054
2000-12-31,0.885,-9.62,0.912
2001-01-01,0.228,-9.263,0.27
2001-01-02,0.012,-11.36,0.051
2001-01-03,0.0,-12.457,0.009
2001-01-04,0.0,-9.695,0.018
2001-01-05,0.0,-9.286,0.0
2001-01-06,0.0,-8.211,0.0
2001-01-07,0.51,-5.024,0.534
2001-01-08,0.141,-7.126,0.162
2001-01-09,0.0,-8.718,0.003
2001-01-10,0.696,-3.575,0.657
2001-01-11,5.718,0.681,3.927
2001-01-12,7.269,2.128,5.484
2001-01-13,42.453,3.067,16.551
2001-01-14,12.93,0.668,6.534
2001-01-15,2.253,-2.274,2.232
2001-01-16,4.8,-0.201,4.596
2001-01-17,27.501,-0.695,17.958
2001-01-18,7.722,-1.204,5.751
2001-01-19,15.351,1.012,7.974
2001-01-20,7.875,0.273,5.208
